datetime,stock_code_equity,exchange_code_equity,product_type_equity,expiry_date_equity,right_equity,strike_price_equity,open_equity,high_equity,low_equity,close_equity,volume_equity,open_interest_equity,count_equity,stock_code_futures,exchange_code_futures,product_type_futures,expiry_date_futures,right_futures,strike_price_futures,open_futures,high_futures,low_futures,close_futures,volume_futures,open_interest_futures,count_futures,call_open_interest,put_open_interest
2022-01-07 07:40:00,NIFTY,NSE,,,,,15780.25,15780.25,15780.25,15780.25,,,0,,,,,,,,,,,,,,,
2022-01-07 07:45:00,NIFTY,NSE,,,,,15780.25,15780.25,15780.25,15780.25,,,1,,,,,,,,,,,,,,,
2022-01-07 07:50:00,NIFTY,NSE,,,,,15780.25,15780.25,15780.25,15780.25,,,2,,,,,,,,,,,,,,,
2022-01-07 07:55:00,NIFTY,NSE,,,,,15780.25,15780.25,15780.25,15780.25,,,3,,,,,,,,,,,,,,,
2022-01-07 08:00:00,NIFTY,NSE,,,,,15780.25,15780.25,15780.25,15780.25,,,4,,,,,,,,,,,,,,,
2022-01-07 08:05:00,NIFTY,NSE,,,,,15780.25,15780.25,15780.25,15780.25,,,5,,,,,,,,,,,,,,,
2022-01-07 08:10:00,NIFTY,NSE,,,,,15780.25,15780.25,15780.25,15780.25,,,6,,,,,,,,,,,,,,,
2022-01-07 08:15:00,NIFTY,NSE,,,,,15780.25,15780.25,15780.25,15780.25,,,7,,,,,,,,,,,,,,,
2022-01-07 08:20:00,NIFTY,NSE,,,,,15780.25,15780.25,15780.25,15780.25,,,8,,,,,,,,,,,,,,,
2022-01-07 08:25:00,NIFTY,NSE,,,,,15780.25,15780.25,15780.25,15780.25,,,9,,,,,,,,,,,,,,,
2022-01-07 08:30:00,NIFTY,NSE,,,,,15780.25,15780.25,15780.25,15780.25,,,10,,,,,,,,,,,,,,,
2022-01-07 08:35:00,NIFTY,NSE,,,,,15780.25,15780.25,15780.25,15780.25,,,11,,,,,,,,,,,,,,,
2022-01-07 08:40:00,NIFTY,NSE,,,,,15780.25,15780.25,15780.25,15780.25,,,12,,,,,,,,,,,,,,,
2022-01-07 08:45:00,NIFTY,NSE,,,,,15780.25,15780.25,15780.25,15780.25,,,13,,,,,,,,,,,,,,,
2022-01-07 08:50:00,NIFTY,NSE,,,,,15780.25,15780.25,15780.25,15780.25,,,14,,,,,,,,,,,,,,,
2022-01-07 08:55:00,NIFTY,NSE,,,,,15780.25,15780.25,15780.25,15780.25,,,15,,,,,,,,,,,,,,,
2022-01-07 09:00:00,NIFTY,NSE,,,,,15780.25,15780.25,15169.75,15521.35,,,16,,,,,,,,,,,,,,,
2022-01-07 09:05:00,NIFTY,NSE,,,,,15525.4,15714.5,15477.9,15698.7,,,17,,,,,,,,,,,,,,,
2022-01-07 09:10:00,NIFTY,NSE,,,,,15699.95,15710.6,15679.65,15703.7,,,18,,,,,,,,,,,,,,,
2022-01-07 09:15:00,NIFTY,NSE,,,,,15703.7,15703.7,15662.55,15677.05,,,19,,,,,,,,,,,,,,,
